Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"nussinov78 (Haskell-ADP)/100",7.937221224238335e-2,7.899768540238328e-2,7.995377164238328e-2,1.669130035663041e-3,1.1748014124393577e-3,2.279486887690166e-3
"nussinov78 (Haskell-ADP)/200",0.6033143292623833,0.6019527483423831,0.6048280897423832,5.222303580852338e-3,4.581504627959322e-3,6.00387897940765e-3
"nussinov78 (Haskell-ADP)/300",1.9934064560423832,1.9908852715623824,1.9963240830623834,9.896881922378833e-3,8.305217901760906e-3,1.206687965634215e-2
"nussinov78 (Haskell-ADP)/400",4.667085596162382,4.664404185282383,4.670122308902382,1.0419786916598181e-2,8.614195387398224e-3,1.2875455117636355e-2
"nussinov78 (Haskell-ADP)/500",9.072531902122382,9.063191135302386,9.093039072662377,4.7958537395528154e-2,2.5695639599502995e-2,9.04879710937067e-2
"nussinov78 (Haskell-ADP)/600",15.5231882521624,15.502996092442404,15.545663161762404,7.727889850827865e-2,6.910984458517583e-2,8.748920624704203e-2
"nussinov78 (Haskell-ADP)/700",24.53962566408234,24.534441518522364,24.54561910900234,2.039335349858509e-2,1.6849424796178968e-2,2.602389845344848e-2
"nussinov78 (Haskell-ADP)/800",36.49341505302237,36.488489092142316,36.49992093468235,2.0434081942924426e-2,1.5985113996441196e-2,2.774967350598847e-2
"nussinov78 (Haskell-ADP)/900",52.04006493596239,52.03330963428239,52.047209210582366,2.530495280428613e-2,2.1356013968776337e-2,3.068968943260015e-2
"nussinov78 (Haskell-ADP)/1000",71.49376660188244,71.48606321040252,71.5040003212624,3.203161648378326e-2,2.4282493000562833e-2,4.572526588231208e-2
"nussinov78 (adp-multi)/100",0.1643686175024512,0.16409825318257462,0.16479331698225982,1.2067423284821091e-3,8.270915798135728e-4,1.9520257003032573e-3
"nussinov78 (adp-multi)/200",1.0079896342422319,1.0067351823820818,1.0093521456022891,4.737636422461199e-3,4.005041853793348e-3,5.753428087119932e-3
"nussinov78 (adp-multi)/300",3.043240010362435,3.040855042222439,3.04733357778253,1.1200490273705965e-2,7.144971535117997e-3,1.697651388772532e-2
"nussinov78 (adp-multi)/400",6.781194675382403,6.779313692522382,6.783733828962477,7.91386235916271e-3,5.856494491363776e-3,1.109794535025563e-2
"nussinov78 (adp-multi)/500",12.748591263122403,12.745113333042438,12.753498278862432,1.4970308953624986e-2,1.1472202790070888e-2,2.3050950274007814e-2
"nussinov78 (adp-multi)/600",21.43798103538245,21.433045216002444,21.444697720142585,2.085400381766801e-2,1.524682146652581e-2,2.9567062118830475e-2
"nussinov78 (adp-multi)/700",33.494156171862564,33.48821545118253,33.501474792962554,2.393718270581953e-2,1.900741067046677e-2,3.0455642579139925e-2
"nussinov78 (adp-multi)/800",49.36850124716243,49.36057201120241,49.379178310602455,3.331420838935375e-2,2.5397154138959297e-2,4.646870097128738e-2
"nussinov78 (adp-multi)/900",69.62674830758246,69.59761557374242,69.73510009462252,0.18507061500720162,3.515959689212702e-2,0.4206347337608126
"nussinov78 (adp-multi)/1000",95.00750723342222,94.92607922160227,95.25984075128224,0.4547137681604334,6.465841767281254e-2,0.9608294667508518
"nussinov78 (ADPfusion)/100",1.1819574823774093e-3,1.1393354022318886e-3,1.234080482436919e-3,1.7071581114509886e-4,1.280930001565856e-4,2.3035708861030452e-4
"nussinov78 (ADPfusion)/200",6.723754062596354e-3,6.641421382201593e-3,6.816706022701335e-3,3.176020015731251e-4,2.580100510757711e-4,4.2416443329192023e-4
"nussinov78 (ADPfusion)/300",1.9556252102894002e-2,1.9482737963090413e-2,1.9632146543272763e-2,2.729464227826524e-4,2.3081716468871476e-4,3.277937918840574e-4
"nussinov78 (ADPfusion)/400",4.314303100201032e-2,4.303803768217295e-2,4.329386694215899e-2,4.535560496360649e-4,3.2904270515119507e-4,7.243874326191806e-4
"nussinov78 (ADPfusion)/500",8.127659314229348e-2,8.110952974207142e-2,8.154483714211057e-2,7.570139022343816e-4,5.266820529374714e-4,1.2495655916159093e-3
"nussinov78 (ADPfusion)/600",0.14781199552217988,0.14688807314193655,0.14906698736235816,3.900749598019626e-3,3.0391599901824274e-3,4.863522117323151e-3
"nussinov78 (ADPfusion)/700",0.2491747884625973,0.24883724506221447,0.24963575168299107,1.4312880437261e-3,1.0930905865862038e-3,2.068968885963979e-3
"nussinov78 (ADPfusion)/800",0.40741110422216564,0.40631858964222456,0.40851865552232164,4.014355936037903e-3,3.5824148402605494e-3,4.530996410932923e-3
"nussinov78 (ADPfusion)/900",0.6094562905223312,0.6079730707220465,0.611026097462355,5.576521429667473e-3,4.892777015666144e-3,6.5408213542099275e-3
"nussinov78 (ADPfusion)/1000",0.8819570753026081,0.8766432919426468,0.9024466568625675,3.323928726668687e-2,5.934440549452303e-3,7.50744494608852e-2